Lp.,Tytuł,Autor,Seria,Tom,Wydawnictwo,Liczba stron,Okładka,Przeczytane
23,"""Dwór skrzydeł i zguby""",Maas Sarah J.,Dwory,3,Uroboros,843,miękka ,tak
24,"""Dwór srebrnych płomieni - część 1""",Maas Sarah J.,Dwory,4,Uroboros,636,miękka ,tak
25,"""Dwór srebrnych płomieni - część 2""",Maas Sarah J.,Dwory,4,Uroboros,296,miękka ,tak
26,"""Elita""",Cass Kiera,Rywalki,2,Jaguar,326,miękka ,tak
27,"""Extinguish the heat - runda finałowa""",P.SHerytiera [Pizgacz],Trylogia Hell,7,BeYA,632,miękka,tak
28,"""Extinguish the heat - runda piąta""",P.SHerytiera [Pizgacz],Trylogia Hell,5,BeYA,675,miękka,tak
29,"""Extinguish the heat - runda szósta""",P.SHerytiera [Pizgacz],Trylogia Hell,6,BeYA,639,miękka,tak
30,"""Flaw(less)""",Marta Łabęcka,Flaw(less),1,Editio,342,miękka ,tak
31,"""For sure not you""",Weronika Ancerowicz,Westwood Academy,1,NieZwykle,330,,nie
32,"""Gambit Kartosa""",Machanienko Wasilij,Droga szamana,2,Insignis,426,miękka,nie
33,"""Gdyby był ze mną""",Laura Nowlin,,,Moondrive,366,miękka ,nie
34,"""Gołąb i wąż""",Mahurin Shelby,,1,We need YA,475,miękka ,nie
35,"""Gry""",Ana Huang,Bezwstydna,2,Czwarta Strona,471,miękka ,nie
36,"""Harry Potter - kamień filozoficzny""",J. K. Rowling,Harry Potter,1,Media rodzina,319,miękka ,nie
37,"""Harry Potter - komnata tajemnic""",J. K. Rowling,Harry Potter,2,Media rodzina,356,miękka ,nie
38,"""Harry Potter - więzień azkabanu""",J. K. Rowling,Harry Potter,3,Media rodzina,450,miękka ,nie
39,"""Heartstopper""",Oseman Alice,Heartstopper,1,Jaguar,281,miękka ,tak
40,"""Heartstopper""",Oseman Alice,Heartstopper,2,Jaguar,324,miękka ,tak
41,"""Heartstopper""",Oseman Alice,Heartstopper,5,Jaguar,336,miękka ,tak
42,"""Heartstopper""",Oseman Alice,Heartstopper,4,Jaguar,382,miękka ,tak
43,"""Heartstopper""",Oseman Alice,Heartstopper,3,Jaguar,384,miękka ,tak
44,"""Hellish heat""",Weronika Plota,Hellish,1,NieZwykle,416,miękka ,nie
45,"""Hideaway""",Penelope Douglas,Devil's Night,2,NieZwykle,520,miękka ,nie
46,"""Hunting adeline""",H.D. Carlton,Cat and Mouse Duet,,NieZwykle Zagraniczne,610,miękka ,nie
47,"""Hypnosis""",Klaudia Kupiec,Mortificatio,1,NieZwykle,492,miękka,nie
48,"""Jedyna""",Cass Kiera,Rywalki,3,Jaguar,329,miękka ,tak
49,"""Kill switch""",Douglas Penelope,Devil's Night,3,NieZwykle,641,miękka ,nie
50,"""Korepetytor""",Joanna Balicka,Reguły Pożądania,1,NieZwykle,415,miękka ,nie
51,"""Korona""",Cass Kiera,Rywalki,5,Jaguar,304,miękka ,tak
52,"""Księżyc w nowiu""",Meyer Stephenie,Zmierzch,4,Wydawnictwo Dolnośląskie,477,miękka ,nie
53,"""Lost friends 2""",Aleksandra Negrońska,Friends,8,NieZwykle,646,miękka ,nie
54,"""Lost friends""",Aleksandra Negrońska,Friends,7,NieZwykle,,miękka ,nie
55,"""Maybe you""",Weronika Ancerowicz,Westwood Academy,2,NieZwykle,395,miękka ,tak
56,"""Michael""",Julia Brylewska,,,NieZwykle,347,miękka ,nie
57,"""Morze potworów""",Riordan Rick,Percy Jackson i bogowie olimpijscy,2,Galeria Ksiązki,276,miękka ,nie
58,"""Następczyni""",Cass Kiera,Rywalki,4,Jaguar,359,miękka ,tak
59,"""Nasz ostatni dzień""",Adam Silvera,,,We need YA,407,,nie
60,"""New friends 2""",Aleksandra Negrońska,Friends,6,NieZwykle,518,miękka ,nie
61,"""New friends""",Aleksandra Negrońska,Friends,5,NieZwykle,473,miękka ,tak
